host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
3630696,2012-09-20,"Seattle, Washington, United States",within a day,80.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
6207,2009-01-08,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",True,t
37103749,2015-06-30,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
42645036,2015-08-27,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
21176908,2014-09-10,"Bellevue, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,t
1075031,,,Unknown,,-1.0,True,,,,True,
14015217,2014-04-07,"Seattle, Washington, United States",within a few hours,83.0,100.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'jumio']",True,t
40604477,2015-08-05,"Seattle, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone']",True,f
2309561,2012-05-07,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio', 'kba']",True,t
30499792,2015-04-02,"Seattle, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
31668017,2015-04-21,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",True,f
48334442,2015-11-06,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",True,t
12707568,2014-03-01,"Seattle, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'jumio']",True,t
3139639,2012-08-02,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'jumio']",True,t
584774,2011-05-13,"Seattle, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
41122913,2015-08-11,"Seattle, Washington, United States",within a few hours,80.0,100.0,True,,2.0,"['email', 'phone', 'reviews', 'jumio']",True,t
18874869,2014-07-25,"Tacoma, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'kba']",True,t
23423764,2014-11-06,"Seattle, Washington, United States",within a day,82.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'google', 'reviews']",True,f
17902178,2014-07-10,US,within a day,100.0,100.0,True,International District,1.0,"['email', 'phone', 'reviews']",True,f
8758451,2013-09-10,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Central Business District,2.0,"['email', 'phone', 'reviews', 'kba']",True,t
33878833,2015-05-21,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,t
