listing_id,month,price
3335,2,120.0
3335,3,120.0
3335,4,120.0
3335,5,120.0
3335,6,120.0
3335,7,120.0
3335,8,120.0
3335,9,120.0
3335,10,120.0
3335,11,120.0
3335,12,120.0
4291,1,82.0
4291,2,82.0
4291,3,82.0
4291,4,82.0
4291,5,82.0
4291,6,82.0
4291,7,82.0
4291,8,82.0
4291,9,82.0
4291,10,82.0
4291,11,82.0
4291,12,82.0
5682,1,49.8
5682,2,52.82608695652174
5682,3,53.0
5682,4,53.0
5682,5,56.64
5682,6,60.0
5682,7,60.0
5682,8,60.0
5682,9,53.13333333333333
5682,10,48.58064516129032
5682,11,48.53333333333333
5682,12,48.645161290322584
6606,1,92.85714285714286
6606,2,92.75862068965517
6606,3,92.58064516129032
6606,4,93.33333333333333
6606,5,92.58064516129032
6606,6,92.66666666666667
6606,7,93.2258064516129
6606,8,92.58064516129032
6606,9,93.0
6606,10,92.90322580645162
6606,11,92.66666666666667
6606,12,93.2258064516129
7369,1,85.0
7369,2,85.0
7369,3,85.0
7369,4,85.0
9419,1,70.0
9419,2,70.0
9419,3,70.0
9419,4,72.0
9419,5,92.58064516129032
9419,6,92.66666666666667
9419,7,93.2258064516129
9419,8,92.58064516129032
9419,9,93.0
9419,10,92.90322580645162
9419,11,92.66666666666667
9419,12,93.2258064516129
9460,1,109.0
9460,2,110.25
9460,3,122.0
9460,4,131.0
9531,4,165.0
9531,5,175.0
9531,6,185.0
9531,10,165.0
9531,11,165.0
9531,12,165.0
9534,2,125.0
9534,3,125.0
9534,4,125.0
9534,5,125.0
9534,6,125.0
9534,9,125.0
9534,10,125.0
9534,11,125.0
9534,12,125.0
9596,1,121.15384615384616
9596,2,121.37931034482759
9596,3,121.29032258064517
9596,4,121.66666666666667
9596,5,121.29032258064517
9596,6,121.33333333333333
9596,7,121.61290322580645
9596,8,121.29032258064517
9596,9,121.5
9596,10,121.45161290322581
9596,11,121.33333333333333
9596,12,121.61290322580645
10385,1,60.0
10385,2,60.0
10385,3,60.0
10385,4,60.0
10385,5,60.0
10385,6,60.0
10385,7,60.0
10385,8,60.0
10385,9,60.0
10385,10,60.0
10385,11,60.0
10385,12,60.0
10695,1,109.0
10695,2,109.0
10695,3,109.0
10695,4,109.0
10695,5,109.0
10695,6,109.0
10695,7,109.0
10695,8,109.0
10695,9,109.0
10695,10,109.0
10695,11,109.0
10695,12,109.0
11012,1,312.85714285714283
11012,2,312.7586206896552
11012,3,312.5806451612903
11012,4,313.3333333333333
11012,5,312.5806451612903
11012,6,312.6666666666667
11012,7,313.2258064516129
11012,8,312.5806451612903
11012,9,313.0
11012,10,312.9032258064516
11012,11,312.6666666666667
11012,12,313.2258064516129
11411,1,60.0
11411,2,60.0
11411,3,60.0
11411,4,60.0
11411,5,60.0
11411,6,60.0
11411,7,60.0
11411,8,60.0
11411,9,60.0
11411,10,60.0
11411,11,60.0
11411,12,60.0
13068,1,333.0833333333333
13068,2,420.9655172413793
13068,3,467.80645161290323
13068,4,541.9655172413793
13068,5,397.90909090909093
13068,6,399.7142857142857
13068,7,402.7692307692308
13068,8,395.8709677419355
13068,9,401.7
13068,10,400.35483870967744
13068,11,397.06666666666666
13068,12,404.83870967741933
14386,1,40.0
14386,3,40.0
14386,4,40.0
14386,5,40.0
14386,6,40.0
14386,7,40.0
14386,8,40.0
14386,9,40.0
14386,10,40.0
14386,11,40.0
14386,12,40.0
15108,3,60.0
15108,4,60.0
15108,5,60.0
15108,6,60.0
15108,7,60.0
15108,8,60.0
15108,9,60.0
15108,10,60.0
15108,11,60.0
15108,12,60.0
17951,1,92.64285714285714
17951,2,95.0
17951,3,95.0
17951,4,95.0
17951,5,95.0
17951,6,95.0
17951,7,95.0
17951,8,95.0
17951,9,95.0
17951,10,95.0
17951,11,95.0
17951,12,95.0
19611,1,114.23809523809524
19611,2,122.54545454545455
19611,3,141.1290322580645
19611,4,165.0
19611,5,168.25
19611,6,202.53333333333333
19619,1,155.5
19619,2,154.72727272727272
19619,3,178.35
19619,4,194.66666666666666
19619,5,220.6153846153846
19619,6,260.44
19623,1,178.47826086956522
19623,2,173.88888888888889
19623,3,202.93548387096774
19623,4,231.86666666666667
19623,5,219.09677419354838
19623,6,343.53333333333336
20868,1,137.0
20868,2,137.0
20868,3,137.0
20868,4,137.0
20868,5,137.0
20868,6,137.0
20868,7,137.0
20868,8,137.0
20868,9,137.0
20868,10,137.0
20868,11,137.0
20868,12,137.0
20927,1,72.75
20927,2,89.0
20927,3,91.58064516129032
20927,4,92.33333333333333
20927,5,91.58064516129032
20927,6,91.6923076923077
20927,7,92.2258064516129
20927,8,91.58064516129032
20927,9,92.0
20927,10,91.90322580645162
20927,11,91.66666666666667
20927,12,92.2258064516129
20928,1,71.3076923076923
20928,2,81.4
20928,3,82.15789473684211
